datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,sealevelpressure,cloudcover,visibility,moonphase,conditions,description,icon
19/07/1985,89.1,69.7,79.9,89.8,69.7,80.5,65.5,64.4,0.0,0,0.0,7.4,175.1,1020.3,11.0,5.8,0.06,Clear,Clear conditions throughout the day.,clear-day
20/07/1985,92.0,70.8,80.8,96.6,70.8,82.7,67.3,65.1,0.0,0,0.0,7.3,338.0,1018.2,33.5,5.5,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/07/1985,92.3,73.6,83.7,94.6,73.6,85.6,68.1,62.2,0.0,0,0.0,9.7,204.0,1015.0,47.8,4.0,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/07/1985,87.9,73.5,77.6,93.8,73.5,78.6,69.6,77.2,0.022,100,4.17,12.2,263.1,1013.5,69.2,5.1,0.17,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
23/07/1985,85.5,70.5,75.3,89.7,70.5,76.0,69.3,82.4,1.532,100,16.67,13.7,69.6,1013.6,81.8,3.4,0.2,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
24/07/1985,78.6,72.4,74.2,78.6,72.4,74.2,69.7,86.0,0.19,100,20.83,14.3,89.6,1015.9,98.5,4.0,0.25,Rain, Overcast,Cloudy skies throughout the day with rain.
25/07/1985,82.1,71.5,75.4,86.6,71.5,76.2,69.3,81.7,0.385,100,25.0,11.1,120.6,1016.7,92.1,7.0,0.28,Rain, Overcast,Cloudy skies throughout the day with rain.
26/07/1985,79.4,74.0,76.3,79.4,74.0,76.3,71.9,86.6,0.939,100,33.33,10.6,231.7,1017.9,95.7,4.1,0.31,Rain, Overcast,Cloudy skies throughout the day with rain.
27/07/1985,80.4,71.3,76.1,83.9,71.3,76.5,70.3,82.7,0.171,100,4.17,10.2,172.3,1015.9,98.6,5.3,0.35,Rain, Overcast,Cloudy skies throughout the day with late afternoon rain.
28/07/1985,78.6,71.0,74.3,78.6,71.0,74.3,70.4,87.8,1.844,100,75.0,13.2,116.7,1016.3,99.9,4.8,0.38,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
29/07/1985,84.0,71.0,75.1,90.5,71.0,75.8,70.7,86.7,1.21,100,41.67,9.7,170.3,1018.3,94.8,5.5,0.42,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
30/07/1985,86.6,71.3,77.5,92.8,71.3,79.4,71.1,81.9,0.0,0,0.0,8.5,178.3,1018.8,83.8,4.4,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/07/1985,87.6,72.7,78.6,94.9,72.7,80.8,71.9,81.0,0.0,0,0.0,8.2,261.1,1017.4,83.8,2.8,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/08/1985,91.0,70.8,80.1,97.2,70.8,82.4,70.5,74.8,0.011,100,4.17,16.5,296.6,1014.2,50.5,4.4,0.52,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
02/08/1985,78.9,71.0,74.6,78.9,71.0,74.6,67.8,79.8,0.0,0,0.0,13.0,77.0,1015.4,90.1,6.0,0.56,Overcast,Cloudy skies throughout the day.,cloudy
03/08/1985,80.5,68.6,74.3,81.0,68.6,74.4,60.8,63.7,0.0,0,0.0,15.1,96.4,1020.4,66.0,11.4,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/08/1985,79.8,60.6,70.8,79.8,60.6,70.8,55.7,60.7,0.0,0,0.0,12.0,90.7,1021.3,45.5,13.5,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/08/1985,81.9,60.7,72.6,81.9,60.7,72.6,58.3,62.8,0.0,0,0.0,8.1,112.4,1020.4,73.3,11.0,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/08/1985,84.4,66.1,74.9,85.2,66.1,75.3,64.3,70.8,0.0,0,0.0,9.5,112.4,1018.6,71.0,9.5,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/08/1985,84.2,71.5,75.5,87.7,71.5,76.2,68.9,80.7,0.323,100,16.67,13.5,132.3,1016.3,90.8,6.1,0.72,Rain, Overcast,Cloudy skies throughout the day with late afternoon rain.
08/08/1985,84.2,71.0,76.4,88.4,71.0,77.3,68.9,79.0,0.0,0,0.0,9.6,83.1,1013.9,73.9,6.1,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/08/1985,85.9,70.8,77.6,89.3,70.8,78.7,69.3,77.2,0.0,0,0.0,8.7,62.1,1014.5,53.0,7.0,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/08/1985,89.0,71.7,79.8,92.4,71.7,81.7,69.1,71.5,0.07,100,8.33,6.8,45.6,1015.3,41.0,8.4,0.81,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
11/08/1985,90.2,72.1,79.1,97.0,72.1,81.2,70.3,75.6,0.289,100,12.5,7.9,82.6,1016.0,46.2,6.3,0.85,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
12/08/1985,89.6,71.7,80.9,92.5,71.7,82.6,69.0,69.5,0.0,0,0.0,8.7,174.7,1017.3,19.7,5.3,0.88,Clear,Clear conditions throughout the day.,clear-day
13/08/1985,89.1,72.4,80.8,90.7,72.4,81.9,67.5,66.2,0.0,0,0.0,10.0,117.6,1019.4,41.6,7.3,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/08/1985,88.2,73.0,80.2,90.3,73.0,81.6,67.9,68.0,0.0,0,0.0,12.4,129.6,1019.5,56.8,9.1,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/08/1985,88.1,70.7,79.3,90.2,70.7,80.5,67.4,68.6,0.0,0,0.0,11.5,176.9,1018.3,63.0,9.6,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/08/1985,88.4,72.1,78.1,91.1,72.1,78.9,68.5,73.9,0.509,100,8.33,10.9,169.1,1016.8,77.2,8.8,0,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
17/08/1985,79.6,73.7,75.7,79.6,73.7,75.7,69.7,82.0,1.198,100,37.5,15.7,233.3,1012.9,98.0,6.7,0.04,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
18/08/1985,87.2,71.0,77.9,89.8,71.0,78.7,67.3,71.8,0.0,0,0.0,15.1,315.8,1014.4,63.4,11.0,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/08/1985,91.6,68.2,79.9,93.6,68.2,81.6,66.6,66.0,0.0,0,0.0,9.3,24.0,1016.1,30.2,11.7,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/08/1985,89.5,72.4,79.4,92.9,72.4,80.9,67.9,69.3,0.006,100,4.17,9.6,215.3,1016.4,61.2,8.0,0.15,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
21/08/1985,88.2,69.6,78.2,90.9,69.6,79.5,66.8,69.7,0.0,0,0.0,12.7,322.8,1016.4,17.7,6.4,0.19,Clear,Clear conditions throughout the day.,clear-day
22/08/1985,87.5,65.5,76.0,89.2,65.5,76.6,63.2,66.2,0.0,0,0.0,7.6,359.0,1017.0,38.4,6.2,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
23/08/1985,80.9,68.8,74.4,83.9,68.8,74.6,65.9,75.1,0.0,0,0.0,10.6,81.6,1018.6,82.4,4.2,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/08/1985,86.3,69.3,75.6,91.2,69.3,76.6,68.1,78.3,0.638,100,16.67,12.2,136.9,1017.0,93.9,3.5,0.3,Rain, Overcast,Cloudy skies throughout the day with late afternoon rain.
25/08/1985,79.2,68.4,72.9,79.2,68.4,72.9,67.1,82.5,0.875,100,20.83,8.7,192.3,1016.0,95.9,6.9,0.33,Rain, Overcast,Cloudy skies throughout the day with rain clearing later.
26/08/1985,76.5,67.3,72.1,76.5,67.3,72.1,67.8,86.5,0.914,100,33.33,10.8,184.6,1021.2,96.6,7.1,0.37,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
27/08/1985,81.4,69.6,74.5,84.7,69.6,75.0,68.0,80.9,0.138,100,4.17,6.1,55.9,1025.5,98.6,8.3,0.4,Rain, Overcast,Cloudy skies throughout the day with early morning rain.
28/08/1985,86.0,68.6,76.8,90.3,68.6,77.8,67.8,75.1,0.0,0,0.0,13.0,100.6,1024.5,69.9,8.7,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/08/1985,83.9,70.6,75.5,87.5,70.6,76.1,68.6,79.9,0.256,100,4.17,14.3,109.1,1022.1,74.7,9.3,0.47,Rain, Partially cloudy,Partly cloudy throughout the day with afternoon rain.
30/08/1985,86.4,69.9,75.7,91.0,69.9,76.8,68.4,79.1,0.019,100,8.33,10.2,250.3,1017.7,78.6,7.6,0.5,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
31/08/1985,83.9,65.2,74.5,85.7,65.2,75.1,65.4,74.8,0.0,0,0.0,10.5,84.1,1014.3,35.8,7.0,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/09/1985,82.7,68.5,74.3,84.8,68.5,74.6,65.8,75.8,0.059,100,12.5,18.1,83.3,1018.6,35.2,8.9,0.57,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
02/09/1985,83.0,71.1,75.7,87.4,71.1,76.5,67.9,77.3,0.008,100,4.17,15.1,105.7,1021.8,66.8,8.3,0.61,Rain, Partially cloudy,Partly cloudy throughout the day with afternoon rain.
03/09/1985,85.5,69.8,77.1,87.9,69.8,78.0,67.4,73.7,0.0,0,0.0,10.1,134.4,1021.4,42.9,10.2,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/09/1985,88.3,69.7,78.8,92.8,69.7,80.6,68.7,72.6,0.0,0,0.0,8.3,191.9,1020.1,41.0,10.3,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/09/1985,87.0,69.8,78.3,89.1,69.8,79.3,67.3,70.8,0.0,0,0.0,10.2,247.0,1019.2,24.5,10.4,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/09/1985,87.6,69.0,78.1,91.3,69.0,79.4,67.5,71.3,0.0,0,0.0,10.4,314.5,1019.4,30.6,8.6,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/09/1985,89.9,68.7,78.2,92.8,68.7,79.5,67.6,71.7,0.0,0,0.0,10.4,327.7,1020.1,25.5,7.9,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/09/1985,89.0,71.2,79.4,92.2,71.2,81.0,68.1,70.3,0.208,100,4.17,6.5,328.2,1019.4,26.2,5.0,0.8,Rain, Partially cloudy,Partly cloudy throughout the day with afternoon rain.
09/09/1985,89.8,71.2,79.5,93.8,71.2,81.2,69.1,72.4,0.0,0,0.0,9.2,276.6,1016.9,9.7,3.9,0.83,Clear,Clear conditions throughout the day.,clear-day
10/09/1985,89.9,71.5,80.2,93.1,71.5,81.6,68.9,70.4,0.0,0,0.0,9.7,308.6,1015.8,11.4,5.4,0.87,Clear,Clear conditions throughout the day.,clear-day
11/09/1985,90.2,70.8,79.6,93.2,70.8,80.6,67.1,67.7,0.0,0,0.0,11.6,326.2,1015.6,20.0,7.3,0.9,Clear,Partly cloudy throughout the day.,clear-day
12/09/1985,82.4,71.3,75.5,84.8,71.3,75.8,66.5,74.0,0.0,0,0.0,12.4,81.5,1017.6,65.3,4.3,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/09/1985,73.1,61.4,66.8,73.1,61.4,66.8,56.8,70.6,0.0,0,0.0,14.9,78.6,1023.6,97.0,7.5,0.96,Overcast,Cloudy skies throughout the day.,cloudy
14/09/1985,67.8,51.2,60.2,67.8,51.2,60.2,41.1,50.6,0.0,0,0.0,19.0,82.8,1029.5,64.1,11.1,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/09/1985,73.3,50.0,61.3,73.3,50.0,61.3,46.7,59.9,0.0,0,0.0,13.7,67.3,1027.0,46.5,13.1,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/09/1985,77.4,53.6,64.4,77.4,53.6,64.4,47.6,57.6,0.0,0,0.0,11.5,73.2,1023.0,17.8,12.1,0.07,Clear,Clear conditions throughout the day.,clear-day
17/09/1985,78.9,52.8,65.8,78.9,52.8,65.8,47.8,56.3,0.0,0,0.0,15.5,70.2,1022.3,10.4,12.2,0.1,Clear,Clear conditions throughout the day.,clear-day
18/09/1985,79.8,57.1,68.4,79.8,57.1,68.4,51.4,56.9,0.0,0,0.0,10.4,64.9,1025.0,3.3,11.6,0.14,Clear,Clear conditions throughout the day.,clear-day
19/09/1985,81.8,56.3,68.3,81.4,56.3,68.3,54.1,62.6,0.0,0,0.0,12.5,69.3,1024.7,2.3,10.0,0.17,Clear,Clear conditions throughout the day.,clear-day
20/09/1985,83.0,58.9,70.6,82.8,58.9,70.6,56.6,63.4,0.0,0,0.0,10.0,68.9,1022.1,9.7,9.1,0.21,Clear,Clear conditions throughout the day.,clear-day
21/09/1985,81.5,60.0,70.0,82.0,60.0,70.0,59.1,69.6,0.008,100,4.17,12.2,98.4,1019.1,29.5,9.4,0.25,Rain, Partially cloudy,Becoming cloudy in the afternoon with afternoon rain.
22/09/1985,83.3,60.0,71.5,83.3,60.0,71.5,60.4,70.9,0.0,0,0.0,8.9,120.9,1017.9,14.7,11.1,0.28,Clear,Clear conditions throughout the day.,clear-day
23/09/1985,80.4,65.0,72.2,83.1,65.0,72.3,65.6,80.2,1.166,100,25.0,11.2,157.6,1016.7,80.2,7.4,0.31,Rain, Partially cloudy,Partly cloudy throughout the day with rain.
24/09/1985,78.1,63.3,70.8,78.1,63.3,70.8,64.2,80.7,0.02,100,8.33,14.1,305.6,1017.1,93.5,5.5,0.35,Rain, Overcast,Cloudy skies throughout the day with early morning rain.
25/09/1985,79.4,55.7,67.9,79.4,55.7,67.9,61.3,79.8,0.514,100,8.33,11.7,78.0,1016.1,56.3,6.7,0.38,Rain, Partially cloudy,Becoming cloudy in the afternoon with late afternoon rain.
26/09/1985,78.2,62.6,69.9,78.2,62.6,69.9,63.1,79.4,0.0,0,0.0,13.9,45.3,1012.3,80.5,5.1,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/09/1985,69.5,52.1,60.4,69.5,52.1,60.4,47.0,64.0,0.0,0,0.0,17.3,316.8,1015.0,3.6,11.9,0.45,Clear,Clear conditions throughout the day.,clear-day
28/09/1985,74.5,46.5,59.8,74.5,45.6,59.7,45.8,63.7,0.0,0,0.0,10.5,86.7,1024.0,0.5,11.3,0.5,Clear,Clear conditions throughout the day.,clear-day
29/09/1985,75.6,48.8,61.9,75.6,48.2,61.8,50.0,67.2,0.0,0,0.0,14.3,100.9,1024.7,61.0,9.4,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/09/1985,78.7,57.8,68.6,78.7,57.8,68.6,60.2,75.6,0.0,0,0.0,11.0,114.3,1020.8,69.0,6.4,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/10/1985,71.9,56.8,67.0,71.9,56.8,67.0,63.1,88.0,3.212,100,66.67,10.0,64.5,1016.3,99.8,4.1,0.59,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
02/10/1985,65.7,54.8,60.3,65.7,54.8,60.3,58.3,93.2,0.074,100,29.17,9.2,339.8,1017.2,100.0,1.3,0.62,Rain, Overcast,Cloudy skies throughout the day with rain.
03/10/1985,78.3,65.0,70.4,78.3,65.0,70.4,65.9,86.3,0.0,0,0.0,9.3,259.6,1017.2,91.9,4.1,0.65,Overcast,Cloudy skies throughout the day.,cloudy
04/10/1985,80.0,63.5,70.1,81.5,63.5,70.2,63.4,80.6,0.0,0,0.0,11.8,266.2,1016.7,52.0,5.6,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/10/1985,70.4,53.0,63.4,70.4,53.0,63.4,49.3,62.6,0.0,0,0.0,16.3,315.6,1015.3,16.8,15.6,0.72,Clear,Clear conditions throughout the day.,clear-day
06/10/1985,66.0,42.8,54.4,66.0,40.5,53.4,40.5,62.6,0.0,0,0.0,11.6,342.8,1018.4,6.5,13.3,0.75,Clear,Clear conditions throughout the day.,clear-day
07/10/1985,69.9,43.5,55.9,69.9,41.8,55.6,43.5,66.3,0.0,0,0.0,11.0,83.6,1022.0,4.7,12.5,0.75,Clear,Clear conditions throughout the day.,clear-day
08/10/1985,67.0,48.4,59.2,67.0,44.9,58.9,48.1,67.3,0.0,0,0.0,15.4,90.6,1026.7,55.9,8.6,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
09/10/1985,79.1,61.4,68.5,79.1,61.4,68.5,56.4,66.8,0.0,0,0.0,12.9,85.8,1027.0,48.7,11.2,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/10/1985,82.6,55.2,68.4,82.5,55.2,68.4,57.2,70.1,0.0,0,0.0,9.2,33.5,1022.0,2.9,9.6,0.88,Clear,Clear conditions throughout the day.,clear-day
11/10/1985,84.7,58.2,70.4,83.6,58.2,70.2,57.4,66.9,0.0,0,0.0,7.9,338.8,1018.0,0.5,9.4,0.92,Clear,Clear conditions throughout the day.,clear-day
12/10/1985,83.2,58.1,70.2,83.6,58.1,70.3,59.7,71.7,0.0,0,0.0,8.2,98.2,1018.8,17.7,7.8,0.95,Clear,Clear conditions throughout the day.,clear-day
13/10/1985,74.7,67.6,70.6,74.7,67.6,70.6,64.8,82.3,0.0,0,0.0,11.1,116.6,1019.5,94.2,5.4,0.98,Overcast,Cloudy skies throughout the day.,cloudy
14/10/1985,82.6,63.5,73.0,85.0,63.5,73.5,65.8,79.5,0.0,0,0.0,10.0,217.3,1017.3,53.5,5.4,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/10/1985,84.1,65.4,73.8,85.4,65.4,74.1,65.5,77.1,0.014,100,4.17,10.5,277.6,1016.7,54.5,8.4,0.05,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
16/10/1985,80.0,66.7,71.7,81.4,66.7,71.7,64.2,78.7,0.038,100,16.67,6.1,340.2,1020.7,88.2,7.0,0.09,Rain, Partially cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.
17/10/1985,72.7,65.0,68.7,72.7,65.0,68.7,62.3,80.3,0.0,0,0.0,13.3,91.0,1026.3,91.0,6.0,0.12,Overcast,Cloudy skies throughout the day.,cloudy
18/10/1985,75.4,63.9,69.6,75.4,63.9,69.6,61.5,75.8,0.0,0,0.0,12.3,91.8,1028.4,90.2,6.6,0.15,Overcast,Cloudy skies throughout the day.,cloudy
19/10/1985,80.6,62.7,70.2,81.7,62.7,70.3,61.7,76.1,0.0,0,0.0,9.7,99.8,1024.8,62.5,8.2,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/10/1985,81.9,58.5,70.2,83.7,58.5,70.4,62.5,78.2,0.0,0,0.0,7.5,182.1,1020.3,46.7,9.3,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/10/1985,82.2,61.1,70.3,83.7,61.1,70.5,64.2,82.3,0.169,100,8.33,11.9,49.6,1017.9,89.4,8.9,0.26,Rain, Partially cloudy,Partly cloudy throughout the day with late afternoon rain.
22/10/1985,62.2,56.8,59.9,62.2,56.8,59.9,58.9,96.6,0.348,100,25.0,9.6,79.5,1019.3,100.0,2.1,0.29,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
23/10/1985,63.4,60.2,61.4,63.4,60.2,61.4,60.9,98.4,0.0,0,0.0,10.6,91.4,1020.7,100.0,0.9,0.33,Overcast,Cloudy skies throughout the day.,fog
24/10/1985,69.1,62.0,64.8,69.1,62.0,64.8,63.2,95.0,0.02,100,8.33,10.3,89.7,1021.5,95.9,2.3,0.36,Rain, Overcast,Cloudy skies throughout the day with rain clearing later.
25/10/1985,78.5,60.2,68.2,78.5,60.2,68.2,61.5,81.4,0.0,0,0.0,10.5,43.7,1019.4,59.8,7.1,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/10/1985,69.5,60.6,64.0,69.5,60.6,64.0,53.4,70.3,0.0,0,0.0,20.2,81.3,1019.1,90.4,9.1,0.43,Overcast,Cloudy skies throughout the day.,cloudy
27/10/1985,60.7,53.9,58.0,60.7,53.9,58.0,50.9,79.3,0.875,100,66.67,16.0,72.6,1018.6,99.3,6.9,0.46,Rain, Overcast,Cloudy skies throughout the day with rain.
28/10/1985,70.2,58.4,64.2,70.2,58.4,64.2,59.0,83.5,0.126,100,25.0,20.3,86.3,1014.2,99.1,7.7,0.5,Rain, Overcast,Cloudy skies throughout the day with rain.
29/10/1985,62.9,52.6,55.9,62.9,52.6,55.9,42.5,61.0,0.008,100,4.17,22.8,90.6,1014.2,99.9,10.2,0.53,Rain, Overcast,Cloudy skies throughout the day with afternoon rain.
30/10/1985,54.7,48.5,51.3,54.7,41.8,49.1,47.4,87.3,0.008,100,4.17,20.3,84.5,1008.2,100.0,5.9,0.57,Rain, Overcast,Cloudy skies throughout the day with late afternoon rain.
31/10/1985,64.9,54.6,59.4,64.9,54.6,59.4,58.2,95.8,0.317,100,54.17,21.6,91.3,1000.9,100.0,3.9,0.6,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
01/11/1985,68.1,57.5,64.3,68.1,57.5,64.3,61.5,90.8,0.403,100,29.17,16.3,213.9,998.5,98.8,6.9,0.63,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
02/11/1985,60.5,56.5,58.0,60.5,56.5,58.0,54.5,88.2,0.0,0,0.0,7.7,301.1,1006.6,100.0,7.3,0.67,Overcast,Cloudy skies throughout the day.,cloudy
03/11/1985,59.9,53.0,57.4,59.9,53.0,57.4,55.5,93.4,0.261,100,25.0,13.7,354.4,1008.3,100.0,4.5,0.7,Rain, Overcast,Cloudy skies throughout the day with a chance of rain throughout the day.
04/11/1985,52.1,45.1,47.9,52.1,38.2,42.7,42.3,81.5,0.008,100,4.17,19.1,313.2,1008.6,83.4,8.2,0.73,Rain, Partially cloudy,Partly cloudy throughout the day with morning rain.
